"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","5.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086786",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","5.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086787",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","5.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086788",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","5.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086789",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","5.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086790",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","6.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086791",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","6.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086792",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","5.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086793",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","5.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086794",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","5.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086795",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","5.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086796",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","4.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086797",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-009 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-009 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","4.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086798",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","1.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086799",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","4.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086800",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","4.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086801",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","3.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086802",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","2.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086803",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","2.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086804",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","3.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086805",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","2.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086806",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","3.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086807",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","4.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086808",
"[18501]","CONTINENTAL FLOOD BASALT","AUSTRALIA / WESTERN AUSTRALIA / KALKARINDJI LARGE IGNEOUS PROVINCE - TABLE HILL VOLCANICS","07THD-010 DRILL CORE","-27","-27","125","125","SUBAERIAL","","","s 07THD-010 [18501]","GABBRO [18501]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18501] ","","","","","","","","","","4.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086809",
